model,image,garden,original_width,original_height,input_height,input_width,tp,fp,tn,fn,pred_boundary,true_boundary,matched_pred_boundary,matched_true_boundary,boundary_band_pixels,boundary_band_errors,mowable_iou,nonmowable_false_positive_rate,predicted_mowable_error_fraction,boundary_precision,boundary_recall,boundary_f1,boundary_band_error_rate,model_ms,end_to_end_ms
segformer_b0_ade20k,images/0G0011593.jpg,0,4000,3000,512,512,8942810,63776,2912988,80426,8002,15544,4400,4282,74691,31281,0.984130977267335,0.021424607392457044,0.0070810404741596875,0.5498625343664084,0.2754760679361812,0.36705897058513537,0.41880547857171546,75.83766174316406,2464.6205779999946
segformer_b0_ade20k,images/0G0031619.jpg,0,4000,3000,512,512,9110769,44653,2841023,3555,8387,9826,1848,1703,46174,20300,0.994736530073173,0.015474017180029912,0.004877219204095671,0.22034100393466077,0.1733156930592306,0.19401958151823331,0.43964135660761466,77.08678436279297,2681.046674999834
segformer_b0_ade20k,images/0G0041669.jpg,0,4000,3000,512,512,6706645,1222697,4069726,932,17235,13252,338,373,62115,29424,0.8457015482693284,0.2310278297860923,0.154199049555436,0.01961125616478097,0.02814669483851494,0.02311623639933549,0.4737020043467761,73.3054428100586,2817.8322769999795
segformer_b0_ade20k,images/0G0051701.jpg,0,4000,3000,512,512,7283153,1997910,2718906,31,12268,16712,2,2,78138,38545,0.7847300113542649,0.42357174839976797,0.215267367541843,0.00016302575806977502,0.00011967448539971278,0.0001380262249827467,0.4932939158923955,73.54573059082031,2640.0210920000973
segformer_b0_ade20k,images/0G0061739.jpg,0,4000,3000,512,512,9730691,227031,2015899,26379,9292,14110,3003,3206,64793,27507,0.9746186461855705,0.10122072467709647,0.022799491690971087,0.3231812311665949,0.22721474131821404,0.26683167577301453,0.42453660117605296,75.73251342773438,2761.2708899996505
segformer_b0_ade20k,images/0G0081787.jpg,0,4000,3000,512,512,10110607,296037,1555866,37490,11672,14370,1500,1501,65675,29598,0.9680656146311413,0.15985556478930052,0.028446922946533004,0.1285126799177519,0.10445372303409882,0.11524089056972762,0.4506737723639132,76.56604766845703,2587.852455000302
segformer_b0_ade20k,images/0G0101841.jpg,0,4000,3000,512,512,10489094,233622,1235235,42049,8554,12783,2190,2381,60303,26784,0.9743913592168524,0.15905020025775143,0.021787576953450974,0.2560205751695113,0.18626300555425174,0.21564066084825054,0.4441570071140739,65.29558563232422,2768.6828450000576
segformer_b0_ade20k,images/0G0111879.jpg,0,4000,3000,512,512,10146235,264685,1586555,2525,11190,13778,1357,1317,65058,30916,0.9743399038454613,0.14297713964693934,0.025423785794146916,0.12126899016979446,0.09558716794890405,0.10690735675589406,0.4752067386024778,76.10124969482422,2835.6426119999014
segformer_b0_ade20k,images/0G0111909.jpg,0,4000,3000,512,512,10391252,193848,1407428,7472,11742,11984,1307,1300,56203,25985,0.9809942287859832,0.12105845588143456,0.01831328943514941,0.1113098279679782,0.10847797062750333,0.10987565575545123,0.4623418678718218,76.38556671142578,2748.3723839995946
segformer_b0_ade20k,images/0G0121958.jpg,0,4000,3000,512,512,9972043,308270,1660625,59062,11497,14396,2756,2724,68977,28938,0.9644725140542828,0.1565700557927162,0.029986441074313593,0.23971470818474386,0.189219227563212,0.2114947227906491,0.4195311480638474,56.99967956542969,2766.5138249999472
